slug,type,state,primary_keyword,title,h1,word_count,faq_count,in_wave_states,in_wave_top200
oak-lawn,city,Illinois,send flowers to Oak Lawn,"Send Flowers, Cakes & Gifts to Oak Lawn, IL | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Oak Lawn, IL",146,3,False,False
berwyn,city,Illinois,send flowers to Berwyn,"Send Flowers, Cakes & Gifts to Berwyn, IL | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Berwyn, IL",137,3,False,False
downers-grove,city,Illinois,send flowers to Downers Grove,"Send Flowers, Cakes & Gifts to Downers Grove, IL | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Downers Grove, IL",135,3,False,False
wheaton,city,Illinois,send flowers to Wheaton,"Send Flowers, Cakes & Gifts to Wheaton, IL | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Wheaton, IL",125,3,False,False
hoffman-estates,city,Illinois,send flowers to Hoffman Estates,"Send Flowers, Cakes & Gifts to Hoffman Estates, IL | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Hoffman Estates, IL",134,3,False,False
oak-park,city,Illinois,send flowers to Oak Park,"Send Flowers, Cakes & Gifts to Oak Park, IL | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Oak Park, IL",131,3,False,False
buffalo-grove,city,Illinois,send flowers to Buffalo Grove,"Send Flowers, Cakes & Gifts to Buffalo Grove, IL | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Buffalo Grove, IL",148,3,False,False
bartlett,city,Illinois,send flowers to Bartlett,"Send Flowers, Cakes & Gifts to Bartlett, IL | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Bartlett, IL",133,3,False,False
streamwood,city,Illinois,send flowers to Streamwood,"Send Flowers, Cakes & Gifts to Streamwood, IL | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Streamwood, IL",132,3,False,False
indianapolis,city,Indiana,send flowers to Indianapolis,"Send Flowers, Cakes & Gifts to Indianapolis, IN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Indianapolis, IN",122,3,False,True
fort-wayne,city,Indiana,send flowers to Fort Wayne,"Send Flowers, Cakes & Gifts to Fort Wayne, IN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Fort Wayne, IN",134,3,False,True
evansville,city,Indiana,send flowers to Evansville,"Send Flowers, Cakes & Gifts to Evansville, IN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Evansville, IN",122,3,False,True
south-bend,city,Indiana,send flowers to South Bend,"Send Flowers, Cakes & Gifts to South Bend, IN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to South Bend, IN",143,3,False,True
carmel,city,Indiana,send flowers to Carmel,"Send Flowers, Cakes & Gifts to Carmel, IN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Carmel, IN",131,3,False,True
fishers,city,Indiana,send flowers to Fishers,"Send Flowers, Cakes & Gifts to Fishers, IN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Fishers, IN",129,3,False,True
bloomington-in,city,Indiana,send flowers to Bloomington,"Send Flowers, Cakes & Gifts to Bloomington, IN | Same-Day | BlossomPot","Send Flowers, Cakes & Gifts to Bloomington, IN",120,3,False,False
