source,destination,status
/send-rakhi-to-meridian,/gifts-to-meridian,301
/send-rakhi-to-nampa,/gifts-to-nampa,301
/send-rakhi-to-idaho-falls,/gifts-to-idaho-falls,301
/send-rakhi-to-coeur-d-alene,/gifts-to-coeur-d-alene,301
/send-rakhi-to-chicago,/gifts-to-chicago,301
/send-rakhi-to-aurora-il,/gifts-to-aurora-il,301
/send-rakhi-to-naperville,/gifts-to-naperville,301
/send-rakhi-to-joliet,/gifts-to-joliet,301
/send-rakhi-to-rockford,/gifts-to-rockford,301
/send-rakhi-to-springfield,/gifts-to-springfield,301
/send-rakhi-to-elgin,/gifts-to-elgin,301
/send-rakhi-to-peoria-il,/gifts-to-peoria-il,301
/send-rakhi-to-champaign,/gifts-to-champaign,301
/send-rakhi-to-waukegan,/gifts-to-waukegan,301
/send-rakhi-to-cicero,/gifts-to-cicero,301
/send-rakhi-to-bloomington,/gifts-to-bloomington,301
/send-rakhi-to-schaumburg,/gifts-to-schaumburg,301
/send-rakhi-to-evanston,/gifts-to-evanston,301
/send-rakhi-to-arlington-heights,/gifts-to-arlington-heights,301
/send-rakhi-to-bolingbrook,/gifts-to-bolingbrook,301
/send-rakhi-to-palatine,/gifts-to-palatine,301
/send-rakhi-to-skokie,/gifts-to-skokie,301
/send-rakhi-to-des-plaines,/gifts-to-des-plaines,301
/send-rakhi-to-orland-park,/gifts-to-orland-park,301
/send-rakhi-to-oak-lawn,/gifts-to-oak-lawn,301
/send-rakhi-to-berwyn,/gifts-to-berwyn,301
/send-rakhi-to-downers-grove,/gifts-to-downers-grove,301
/send-rakhi-to-wheaton,/gifts-to-wheaton,301
/send-rakhi-to-hoffman-estates,/gifts-to-hoffman-estates,301
/send-rakhi-to-oak-park,/gifts-to-oak-park,301
/send-rakhi-to-buffalo-grove,/gifts-to-buffalo-grove,301
/send-rakhi-to-bartlett,/gifts-to-bartlett,301
/send-rakhi-to-streamwood,/gifts-to-streamwood,301
/send-rakhi-to-indianapolis,/gifts-to-indianapolis,301
/send-rakhi-to-fort-wayne,/gifts-to-fort-wayne,301
